Tmedia,Urmedia,Vento_Km,Pressao,Chuva_mm,Rad_w_m2,ET_mm,ETClass
23.20486111,88.44444444,167.39,980.8069444,45.6,6907,1.2,1
23.69444444,82.72222222,82.74,983.9506944,0.2,34710,4.06,4
24.62847222,62.88194444,196.61,985.43125,0.2,43831,6.38,6
24.97569444,72.20138889,252.64,983.0131944,7.2,36604,5.42,5
23.98541667,82.66666667,288.37,981.0743056,9.6,20389,3.11,3
23.79027778,79.29861111,57.25,986.1673611,0,42626,4.73,5
24.41736111,79.17361111,142.33,985.1597222,11.2,29675,3.89,4
23.96666667,76.52083333,229.63,986.8,0,44790,5.79,6
24.05763889,73.9375,233.04,987.8583333,0,42901,5.71,6
24.6375,75.90277778,217.13,986.1229167,0,36388,4.97,5
25.33888889,76.01388889,119.75,985.0125,0,39802,4.85,5
26.08888889,72.6875,108.16,981.8888889,0,39721,5.26,5
26.93541667,68.08333333,108.68,980.3201389,0,41240,5.61,6
24.97916667,76.04166667,182.68,977.9583333,39.6,28739,4.17,4
21.0625,77.28472222,102.06,982.9027778,0,36331,4.1,4
20.4125,65.04166667,42.49,989.7631944,0,44398,5.19,5
22.24513889,63.34722222,64.33,992.2125,0,43346,5.46,5
22.77777778,59.19444444,231.63,991.3555556,0,34674,5.41,5
20.60972222,78.875,312.94,990.1,0,13763,2.55,3
19.53819444,81.47222222,346.09,987.0673611,1.2,20658,3.44,3
19.31527778,82.22916667,89.05,986.7972222,0,22222,2.57,3
19.57777778,77.1875,164.74,986.4958333,0,22529,3.08,3
18.69097222,70.60416667,121.04,988.01875,0,38891,4.68,5
17.19444444,68.89583333,57.07,990.9465278,0,41712,4.62,5
21.55138889,64.13888889,147.66,989.0104167,0,41984,5.46,5
21.07708333,81.00694444,76.99,986.8194444,2.8,12710,1.57,2
20.25347222,83.10416667,120.6,986.6569444,2.6,20697,2.62,3
17.9625,90.5,139.92,986.13125,23.8,12518,1.41,1
17.27083333,77.5625,130.38,993.73125,0.4,35044,4,4
17.51944444,73.82638889,102.39,996.6090278,0,34978,4.11,4
20.44722222,73.72222222,152.52,994.7166667,0,37383,4.44,4
23.29027778,70.35416667,200.06,993.3305556,0,39331,5.12,5
23.55625,68.22916667,142.63,993.3041667,0,38894,5.1,5
25.49583333,69.46527778,142.79,989.2090278,0,36869,5.01,5
25.24027778,73.86805556,236.31,986.5402778,12.8,25632,4.37,4
17.92361111,83.46527778,318.09,993.1597222,2.8,11579,1.87,2
16.35,89.38194444,266.38,993.7069444,30,4326,0.82,1
18.17847222,93.97916667,123.25,988.5569444,10.6,10224,1.05,1
18.95972222,83.39583333,93.45,989.5923611,1.6,26311,2.97,3
18.86805556,78.08333333,102.68,990.6305556,0.2,29637,3.54,4
19.78611111,77.25694444,242.23,990.7284722,0,30315,4.25,4
17.70972222,86.70138889,344.28,991.6243056,3.4,6426,1.44,1
17.45972222,94.03472222,382.5,984.28125,101,6281,1,1
18.03611111,94.125,294.98,983.5395833,9,11200,1.32,1
19.10416667,88.90972222,251.13,988.0479167,2.4,17861,2.4,2
19.82430556,81.79861111,77.4,992.1888889,0,25815,2.9,3
19.61041667,76.84027778,49.63,993.1569444,0.2,35168,3.96,4
20.76111111,76.49305556,128.38,992.6236111,0,33455,4,4
21.50972222,76.34722222,207.3,990.4486111,0,33928,4.48,4
19.81111111,88.9375,153.89,985.9715278,19,9195,1.39,1
19.49375,86.66666667,71.66,989.2326389,0.4,19665,2.18,2
19.27916667,88.19444444,265.83,991.7958333,24.4,8021,1.38,1
21.13958333,88.4375,105.92,989.7298611,1.4,8629,1.25,1
21.82986111,89.90277778,182.07,984.6520833,21.2,9360,1.36,1
20.34166667,90.24305556,131.46,986.6479167,0.2,15547,1.76,2
18.49861111,92.625,170.51,986.4305556,35,4285,0.61,1
20.76041667,88.99305556,144.18,986.7201389,0.6,17434,2.04,2
19.46041667,90.75,266.1,990.3027778,9.4,7071,1.18,1
18.88055556,90.22916667,315.76,992.7083333,19.6,9637,1.53,2
19.44027778,87.64583333,350.86,994.6097222,0.2,10103,1.73,2
20.27361111,89.3125,236.62,987.6430556,23.4,7016,1.24,1
20.79722222,85.90277778,39.23,987.7944444,0,21168,2.36,2
25.35416667,76.60416667,255.06,984.0416667,0,26740,4.16,4
27.44444444,67.52777778,315.67,983.5631944,0,27407,5.15,5
26.96736111,69.97222222,214.88,985.7097222,0,25733,4.59,5
22.66180556,86.78472222,198.16,986.7847222,32.8,4734,1.04,1
21.96666667,91.26388889,167.84,983.7868056,41,6747,1.08,1
18.62083333,90.27083333,122.56,986.2458333,0.4,10723,1.21,1
17.28541667,91.79166667,173.47,985.0201389,35.8,8702,1.2,1
16.44791667,82.68055556,211.03,1004.148611,0.4,28941,3.42,3
21.07916667,85.04861111,220.43,1006.386111,14,14522,2.27,2
